store,cs_label,workload,size,edits,retention,readers,ok,p50_ms,p90_ms,p99_ms,max_ms,copied_total,meta_total,live_delta,reader_mbs,label,final_hash,logical_bytes,physical_bytes,sharing_ratio,maint_copied,cold_ok
chunked,65536K,W1,16777216,300,1,0,1,0.0174,0.0247,0.0473,2.2319,3995,0,16804659,0.0,p215,3c878bd7cf1af95b,33556986,16820395,2.00,0,-1
flat,-,W1,16777216,300,8,0,1,6.1994,7.9916,13.8934,28.1070,5033402995,9600,134228171,0.0,p215,3c878bd7cf1af95b,151006400,134227907,1.13,0,-1
chunked,65536K,W1,16777216,300,8,0,1,0.0175,0.0261,0.0593,0.2060,3995,0,16890115,0.0,p215,3c878bd7cf1af95b,151006400,16905115,8.93,0,-1
flat,-,W1,16777216,300,64,0,1,6.1725,9.9786,17.2284,35.8730,5033402995,9600,1073820402,0.0,p215,3c878bd7cf1af95b,1090596839,1073818346,1.02,0,-1
chunked,65536K,W1,16777216,300,64,0,1,0.0222,0.0355,0.0664,0.1378,3995,0,17525027,0.0,p215,3c878bd7cf1af95b,1090596839,17534459,62.20,0,-1
flat,-,W5,16777216,300,1,0,1,5.9252,7.2205,16.1952,19.8812,5036370165,9600,16798171,0.0,p215,df259cc66b276530,33596262,16798131,2.00,0,-1
chunked,65536K,W5,16777216,300,1,0,1,0.0151,0.0246,0.0369,0.0436,40651,0,16838557,0.0,p215,df259cc66b276530,33596262,16856277,1.99,0,-1
flat,-,W5,16777216,300,8,0,1,9.4918,27.0495,51.0025,91.2417,5036370165,9600,134383483,0.0,p215,df259cc66b276530,151181350,134383219,1.13,0,-1
chunked,65536K,W5,16777216,300,8,0,1,0.0185,0.0281,0.0576,2.1459,40651,0,16909949,0.0,p215,df259cc66b276530,151181350,16926981,8.93,0,-1
flat,-,W5,16777216,300,64,0,1,6.8068,11.5681,27.0913,44.6109,5036370165,9600,1074954319,0.0,p215,df259cc66b276530,1091750394,1074952263,1.02,0,-1
chunked,65536K,W5,16777216,300,64,0,1,0.0206,0.0359,0.0789,0.3354,40651,0,17449984,0.0,p215,df259cc66b276530,1091750394,17460904,62.53,0,-1
chunked,65536K,W5,268435456,20,8,0,1,0.0987,0.1818,0.1898,0.1898,2682,0,269066130,0.0,p215,d732d9a40962fb05,2415929333,269066282,8.98,0,-1
chunked,262144K,W5,268435456,20,8,0,1,0.0372,0.0600,0.0650,0.0650,2682,0,268599186,0.0,p215,d732d9a40962fb05,2415929333,268599338,8.99,0,-1
chunked,65536K,W3,268435456,12,8,0,1,0.1398,0.1511,0.1518,0.1518,12,0,269061348,0.0,p215,321697d3473ba430,2415919184,269061100,8.98,0,-1
chunked,262144K,W3,268435456,12,8,0,1,0.0415,0.0441,0.0586,0.0586,12,0,268594404,0.0,p215,321697d3473ba430,2415919184,268594156,8.99,0,-1
flat,-,W5,268435456,10,1,0,1,87.2488,92.5621,92.5621,92.5621,2684358066,320,268436293,0.0,p215,16d5c11689355fb5,536872506,268436253,2.00,0,-1
chunked,65536K,W5,1073741824,20,8,0,1,0.3662,0.6957,2.0492,2.0492,2682,0,1076240274,0.0,p215,d73afbefd933985f,9663686645,1076240426,8.98,0,-1
chunked,262144K,W5,1073741824,20,8,0,1,0.0962,0.1410,0.1648,0.1648,2682,0,1074372498,0.0,p215,d73afbefd933985f,9663686645,1074372650,8.99,0,-1
chunked,65536K,W3,1073741824,12,8,0,1,0.4584,0.4955,0.8242,0.8242,12,0,1076235492,0.0,p215,d9856c92ca0c4780,9663676496,1076235244,8.98,0,-1
chunked,262144K,W3,1073741824,12,8,0,1,0.1128,0.1315,0.1533,0.1533,12,0,1074367716,0.0,p215,d9856c92ca0c4780,9663676496,1074367468,8.99,0,-1
flat,-,W5,1073741824,10,1,0,1,631.8387,929.2365,929.2365,929.2365,10737421746,320,1073742661,0.0,p215,1645db86315ebcbc,2147485242,1073742621,2.00,0,-1
flat,-,W5,10485760,100,16,1,1,7.1356,10.7877,16.0404,16.0404,1048939096,3200,167885990,520.3,p215,e7692931217ff072,178378792,167885470,1.06,0,-1
chunked,65536K,W5,10485760,100,16,1,1,0.0121,0.0193,0.0319,0.0319,14397,0,10585775,520.3,p215,e7692931217ff072,178378792,10589559,16.84,0,-1
flat,-,W5,10485760,100,16,2,1,4.3707,5.9254,8.0504,8.0504,1048939096,3200,167885990,880.6,p215,e7692931217ff072,178378792,167885470,1.06,0,-1
chunked,65536K,W5,10485760,100,16,2,1,0.0095,0.0164,0.1005,0.1005,14397,0,10585775,480.3,p215,e7692931217ff072,178378792,10589559,16.84,0,-1
flat,-,W5,10485760,100,16,4,1,8.4172,15.9651,31.6627,31.6627,1048939096,3200,167885990,1881.3,p215,e7692931217ff072,178378792,167885470,1.06,0,-1
chunked,65536K,W5,10485760,100,16,4,1,0.0133,0.0194,0.2312,0.2312,14397,0,10585775,1921.3,p215,e7692931217ff072,178378792,10589559,16.84,0,-1
flat,-,W5,10485760,100,16,8,1,4.9295,6.8492,14.0058,14.0058,1048939096,3200,167885990,4002.7,p215,e7692931217ff072,178378792,167885470,1.06,0,-1
chunked,65536K,W5,10485760,100,16,8,1,0.0087,0.0157,0.0195,0.0195,14397,0,10585775,1881.3,p215,e7692931217ff072,178378792,10589559,16.84,0,-1
flat,-,W5,10485760,100,16,16,1,4.5680,6.5984,9.8978,9.8978,1048939096,3200,167885990,5083.5,p215,e7692931217ff072,178378792,167885470,1.06,0,-1
chunked,65536K,W5,10485760,100,16,16,1,0.0086,0.0154,0.0217,0.0217,14397,0,10585775,6924.7,p215,e7692931217ff072,178378792,10589559,16.84,0,-1
flat,-,W5,10485760,100,16,32,1,3.5085,3.9197,4.4532,4.4532,1048939096,3200,167885990,8966.1,p215,e7692931217ff072,178378792,167885470,1.06,0,-1
chunked,65536K,W5,10485760,100,16,32,1,0.0080,0.0149,0.0217,0.0217,14397,0,10585775,9246.3,p215,e7692931217ff072,178378792,10589559,16.84,0,-1
chunked,65536K,W6,16777216,150,8,0,1,0.0059,0.0200,0.1792,0.1817,150,0,16839582,0.0,p215,444725c2218af158,150996266,16848230,8.96,0,-1
flat,-,W6,16777216,150,8,0,1,7.8484,12.1543,19.8515,23.7489,2516593725,4800,134219164,0.0,p215,444725c2218af158,150996266,134218900,1.13,0,-1
chunked,65536K,W6,16777216,150,8,0,1,0.0161,0.0229,0.0489,0.0490,150,0,16839582,0.0,p215,b506fdca674c88a2,150996266,16848230,8.96,0,-1
flat,-,W6,16777216,150,8,0,1,10.7823,32.5591,44.5105,44.7879,2516593725,4800,134219164,0.0,p215,b506fdca674c88a2,150996266,134218900,1.13,0,-1
